,年數,月,前後,競賽名稱,階級,距離,分類,跑道,場地,行進方向,粉絲増加（人）
新手級,第１年,7月,後,中京新手級錦標賽,OP,1600,一哩,草地,中京,逆,1600
新手級,第１年,7月,後,函館新手級錦標賽,G3,1200,短距離,草地,函館,順,3100
新手級,第１年,8月,前,波斯菊賞,OP,1800,一哩,草地,札幌,順,1600
新手級,第１年,8月,前,鳳凰賞,OP,1200,短距離,草地,小倉,順,1600
新手級,第１年,8月,前,大麗花賞,OP,1400,短距離,草地,新潟,逆・内,1600
新手級,第１年,8月,後,三葉草賞,OP,1500,一哩,草地,札幌,順,1600
新手級,第１年,8月,後,新潟新手級錦標賽,G3,1600,一哩,草地,新潟,逆・外,3100
新手級,第１年,9月,前,野地菊錦標賽,OP,1800,一哩,草地,阪神,順・外,1600
新手級,第１年,9月,前,札幌新手級錦標賽,G3,1800,一哩,草地,札幌,順,3100
新手級,第１年,9月,前,小倉新手級錦標賽,G3,1200,短距離,草地,小倉,順,3100
新手級,第１年,9月,前,鈴蘭賞,OP,1200,短距離,草地,札幌,順,1600
新手級,第１年,9月,前,紫菀賞,Pre-OP,1600,一哩,草地,中山,順・外,1000
新手級,第１年,9月,後,美人蕉錦標賽,OP,1200,短距離,草地,中山,順・外,1600
新手級,第１年,9月,後,桔梗錦標賽,OP,1400,短距離,草地,阪神,順・内,1600
新手級,第１年,9月,後,芙蓉錦標賽,OP,2000,中距離,草地,中山,順・内,1600
新手級,第１年,9月,後,番紅花賞,Pre-OP,1600,一哩,草地,中山,順・外,1000
新手級,第１年,10月,前,沙烏地阿拉伯錦標賽,G3,1600,一哩,草地,東京,逆,3300
新手級,第１年,10月,前,紅葉錦標賽,OP,1400,短距離,草地,京都,順・外,1600
新手級,第１年,10月,前,龍膽賞,Pre-OP,1400,短距離,草地,京都,順・外,1000
新手級,第１年,10月,前,紫菊賞,Pre-OP,2000,中距離,草地,京都,順・内,1000
新手級,第１年,10月,前,懸鈴木賞,Pre-OP,1600,一哩,沙地,東京,逆,1000
新手級,第１年,10月,後,阿提米絲錦標賽,G3,1600,一哩,草地,東京,逆,2900
新手級,第１年,10月,後,常春藤錦標賽,OP,1800,一哩,草地,東京,逆,1700
新手級,第１年,10月,後,萩錦標賽,OP,1800,一哩,草地,京都,順・外,1700
新手級,第１年,10月,後,撫子賞,Pre-OP,1400,短距離,沙地,京都,順,1000
新手級,第１年,11月,前,黄菊賞,Pre-OP,2000,中距離,草地,京都,順・内,1000
新手級,第１年,11月,前,京王盃新手錦標賽,G2,1400,短距離,草地,東京,逆,3800
新手級,第１年,11月,前,每日盃新手錦標賽,G2,1600,一哩,草地,京都,順・外,3800
新手級,第１年,11月,前,幻想錦標賽,G3,1400,短距離,草地,京都,順・外,2900
新手級,第１年,11月,前,福島新手級錦標賽,OP,1200,短距離,草地,福島,順,1600
新手級,第１年,11月,前,百日草特別賽,Pre-OP,2000,中距離,草地,東京,逆,1000
新手級,第１年,11月,前,金木犀特別賽,Pre-OP,1800,一哩,草地,福島,順,1000
新手級,第１年,11月,前,酢漿草賞,Pre-OP,1400,短距離,沙地,東京,逆,1000
新手級,第１年,11月,後,日本金松賞,Pre-OP,1600,一哩,草地,中京,逆,1000
新手級,第１年,11月,後,東京運動盃新手級錦標賽,G3,1800,一哩,草地,東京,逆,3300
新手級,第１年,11月,後,京都新手級錦標賽,G3,2000,中距離,草地,京都,順・内,3300
新手級,第１年,11月,後,全緣冬青賞,Pre-OP,1800,一哩,沙地,京都,順,1000
新手級,第１年,11月,後,赤松賞,Pre-OP,1600,一哩,草地,東京,逆,1000
新手級,第１年,11月,後,秋明菊賞,Pre-OP,1400,短距離,草地,京都,順・外,1000
新手級,第１年,11月,後,嘉德麗雅蘭賞,Pre-OP,1600,一哩,沙地,東京,逆,1000
新手級,第１年,11月,後,秋海棠賞,Pre-OP,1600,一哩,草地,東京,逆,1000
新手級,第１年,11月,後,白菊賞,Pre-OP,1600,一哩,草地,京都,順・外,1000
新手級,第１年,11月,後,葉牡丹賞,Pre-OP,2000,中距離,草地,中山,順・内,1000
新手級,第１年,12月,前,柊樹賞,Pre-OP,1600,一哩,草地,中山,順・外,1000
新手級,第１年,12月,前,萬兩賞,Pre-OP,1400,短距離,草地,阪神,順・内,1000
新手級,第１年,12月,前,黒松賞,Pre-OP,1200,短距離,草地,中山,順・外,1000
新手級,第１年,12月,前,歐石楠賞,Pre-OP,2000,中距離,草地,阪神,順・内,1000
新手級,第１年,12月,前,大吳風草賞,Pre-OP,1400,短距離,草地,中京,逆,1000
新手級,第１年,12月,前,茶梅賞,Pre-OP,1200,短距離,草地,阪神,順・内,1000
新手級,第１年,12月,前,寒椿賞,Pre-OP,1400,短距離,沙地,中京,逆,1000
新手級,第１年,12月,前,阪神新手級賽馬娘賽,G1,1600,一哩,草地,阪神,順・外,6500
新手級,第１年,12月,前,朝日盃未來錦標賽,G1,1600,一哩,草地,阪神,順・外,7000
新手級,第１年,12月,後,千兩賞,Pre-OP,1600,一哩,草地,阪神,順・外,1000
新手級,第１年,12月,後,聖誕節玫瑰錦標賽,OP,1200,短距離,草地,中山,順・外,1600
新手級,第１年,12月,後,希望錦標賽,G1,2000,中距離,草地,中山,順・内,7000
經典級,第２年,1月,前,新山紀念,G3,1600,一哩,草地,京都,順・外,3800
經典級,第２年,1月,前,妖精錦標賽,G3,1600,一哩,草地,中山,順・外,3500
經典級,第２年,1月,前,京成盃,G3,2000,中距離,草地,中山,順・内,3800
經典級,第２年,1月,前,新手級盃,OP,1600,一哩,草地,中山,順・外,2000
經典級,第２年,1月,前,紅梅錦標賽,OP,1400,短距離,草地,京都,順・外,2000
經典級,第２年,1月,後,幼駒錦標賽,OP,2000,中距離,草地,京都,順・内,2000
經典級,第２年,1月,後,番紅花錦標賽,OP,1400,短距離,草地,東京,逆,2000
經典級,第２年,2月,前,如月賞,G3,1800,一哩,草地,京都,順・外,3800
經典級,第２年,2月,前,女王盃,G3,1600,一哩,草地,東京,逆,3500
經典級,第２年,2月,前,共同通信盃,G3,1800,一哩,草地,東京,逆,3800
經典級,第２年,2月,前,精靈錦標賽,OP,1600,一哩,草地,京都,順・外,2000
經典級,第２年,2月,後,菫錦標賽,OP,2200,中距離,草地,阪神,順・内,2000
經典級,第２年,2月,後,風信子錦標賽,OP,1600,一哩,沙地,東京,逆,1900
經典級,第２年,2月,後,瑪格麗特錦標賽,OP,1200,短距離,草地,阪神,順・内,2000
經典級,第２年,3月,前,彌生賞,G2,2000,中距離,草地,中山,順・内,5400
經典級,第２年,3月,前,賽馬娘賽,G2,1400,短距離,草地,阪神,順・内,5200
經典級,第２年,3月,前,鬱金香賞,G2,1600,一哩,草地,阪神,順・外,5200
經典級,第２年,3月,前,銀蓮花錦標賽,OP,1600,一哩,草地,中山,順・外,2000
經典級,第２年,3月,前,昇龍錦標賽,OP,1400,短距離,沙地,中京,逆,1800
經典級,第２年,3月,後,春季錦標賽,G2,1800,一哩,草地,中山,順・内,5400
經典級,第２年,3月,後,獵鷹錦標賽,G3,1400,短距離,草地,中京,逆,3800
經典級,第２年,3月,後,百花盃,G3,1800,一哩,草地,中山,順・内,3500
經典級,第２年,3月,後,毎日盃,G3,1800,一哩,草地,阪神,順・外,3800
經典級,第２年,3月,後,若葉錦標賽,OP,2000,中距離,草地,阪神,順・内,2000
經典級,第２年,4月,前,櫻花賞,G1,1600,一哩,草地,阪神,順・外,10500
經典級,第２年,4月,前,皋月賞,G1,2000,中距離,草地,中山,順・内,11000
經典級,第２年,4月,前,紐西蘭盃,G2,1600,一哩,草地,中山,順・外,5400
經典級,第２年,4月,前,阿靈頓盃,G3,1600,一哩,草地,阪神,順・外,3800
經典級,第２年,4月,前,伏龍錦標賽,OP,1800,一哩,沙地,中山,順,1800
經典級,第２年,4月,前,勿忘草賞,OP,2000,中距離,草地,阪神,順・内,2000
經典級,第２年,4月,後,青葉賞,G2,2400,中距離,草地,東京,逆,5400
經典級,第２年,4月,後,花仙錦標賽,G2,2000,中距離,草地,東京,逆,5200
經典級,第２年,4月,後,橘錦標賽,OP,1400,短距離,草地,京都,順・外,2000
經典級,第２年,4月,後,端午錦標賽,OP,1400,短距離,沙地,京都,順,1800
經典級,第２年,4月,後,香豌豆錦標賽,OP,1800,一哩,草地,東京,逆,2000
經典級,第２年,5月,前,京都新聞盃,G2,2200,中距離,草地,京都,順・外,5400
經典級,第２年,5月,前,NHK一哩賽,G1,1600,一哩,草地,東京,逆,10500
經典級,第２年,5月,前,主角錦標賽,OP,2000,中距離,草地,東京,逆,2000
經典級,第２年,5月,前,青龍錦標賽,OP,1600,一哩,沙地,東京,逆,1800
經典級,第２年,5月,後,奧克斯,G1,2400,中距離,草地,東京,逆,11000
經典級,第２年,5月,後,東京優駿 日本打比,G1,2400,中距離,草地,東京,逆,20000
經典級,第２年,5月,後,葵錦標賽,G3,1200,短距離,草地,京都,順・内,3800
經典級,第２年,5月,後,鳳雛錦標賽,OP,1800,一哩,沙地,京都,順,1900
經典級,第２年,5月,後,白百合錦標賽,OP,1800,一哩,草地,京都,順・外,2000
經典級,第２年,6月,前,人魚錦標賽,G3,2000,中距離,草地,阪神,順・内,3600
經典級,第２年,6月,前,安田紀念,G1,1600,一哩,草地,東京,逆,13000
經典級,第２年,6月,前,鳴尾紀念,G3,2000,中距離,草地,阪神,順・内,4100
經典級,第２年,6月,前,葉森盃,G3,1800,一哩,草地,東京,逆,4100
經典級,第２年,6月,前,天保山錦標賽,OP,1400,短距離,沙地,阪神,順,2200
經典級,第２年,6月,前,神駿錦標賽,OP,2100,中距離,沙地,東京,逆,2200
經典級,第２年,6月,後,寶塚紀念,G1,2200,中距離,草地,阪神,順・内,15000
經典級,第２年,6月,後,函館短途錦標賽,G3,1200,短距離,草地,函館,順,3900
經典級,第２年,6月,後,獨角獸錦標賽,G3,1600,一哩,沙地,東京,逆,3500
經典級,第２年,6月,後,阿哈爾捷金馬錦標賽,OP,1600,一哩,沙地,東京,逆,2200
經典級,第２年,6月,後,米子錦標賽,OP,1600,一哩,草地,阪神,順・外,2500
經典級,第２年,6月,後,大沼錦標賽,OP,1700,一哩,沙地,函館,順,2300
經典級,第２年,6月,後,天堂錦標賽,OP,1400,短距離,草地,東京,逆,2500
經典級,第２年,6月,後,三宮錦標賽,OP,1800,一哩,沙地,阪神,順,2200
經典級,第２年,7月,前,日本沙地打比,G1,2000,中距離,沙地,大井,順,4500
經典級,第２年,7月,前,CBC賞,G3,1200,短距離,草地,中京,逆,3900
經典級,第２年,7月,前,南河三錦標賽,G3,1400,短距離,沙地,中京,逆,3600
經典級,第２年,7月,前,七夕賞,G3,2000,中距離,草地,福島,順,4100
經典級,第２年,7月,前,函館紀念,G3,2000,中距離,草地,函館,順,4100
經典級,第２年,7月,前,日經電台賞,G3,1800,一哩,草地,福島,順,3800
經典級,第２年,7月,前,巴賞,OP,1800,一哩,草地,函館,順,2400
經典級,第２年,7月,前,海洋錦標賽,OP,1700,一哩,沙地,函館,順,2200
經典級,第２年,7月,前,名鐵盃,OP,1800,一哩,沙地,中京,逆,2300
經典級,第２年,7月,後,中京紀念,G3,1600,一哩,草地,中京,逆,3900
經典級,第２年,7月,後,朱鷺夏季短途賽,G3,1000,短距離,草地,新潟,直線,3900
經典級,第２年,7月,後,女王錦標賽,G3,1800,一哩,草地,札幌,順,3600
經典級,第２年,7月,後,福島電視台公開賽,OP,1200,短距離,草地,福島,順,2300
經典級,第２年,8月,前,小倉紀念,G3,2000,中距離,草地,小倉,順,4100
經典級,第２年,8月,前,關屋紀念,G3,1600,一哩,草地,新潟,逆・外,3900
經典級,第２年,8月,前,榆樹錦標賽,G3,1700,一哩,沙地,札幌,順,3600
經典級,第２年,8月,前,獵豹錦標賽,G3,1800,一哩,沙地,新潟,逆,4000
經典級,第２年,8月,前,札幌日經公開賽,OP,2600,長距離,草地,札幌,順,2600
經典級,第２年,8月,前,UHB賞,OP,1200,短距離,草地,札幌,順,2300
經典級,第２年,8月,前,阿蘇錦標賽,OP,1700,一哩,沙地,小倉,順,2200
經典級,第２年,8月,前,關越錦標賽,OP,1800,一哩,草地,新潟,逆・外,2400
經典級,第２年,8月,後,札幌紀念,G2,2000,中距離,草地,札幌,順,7000
經典級,第２年,8月,後,北九州紀念,G3,1200,短距離,草地,小倉,順,3900
經典級,第２年,8月,後,堅蘭盃,G3,1200,短距離,草地,札幌,順,4100
經典級,第２年,8月,後,NST賞,OP,1200,短距離,沙地,新潟,逆,2200
經典級,第２年,8月,後,BSN賞,OP,1800,一哩,沙地,新潟,逆,2300
經典級,第２年,8月,後,小倉日經公開賽,OP,1800,一哩,草地,小倉,順,2400
經典級,第２年,8月,後,朱鷲錦標賽,OP,1400,短距離,草地,新潟,逆・内,2500
經典級,第２年,9月,前,紫苑錦標賽,G3,2000,中距離,草地,中山,順・内,3500
經典級,第２年,9月,前,人馬錦標賽,G2,1200,短距離,草地,阪神,順・内,5900
經典級,第２年,9月,前,玫瑰錦標賽,G2,1800,一哩,草地,阪神,順・外,5200
經典級,第２年,9月,前,新潟紀念,G3,2000,中距離,草地,新潟,逆・外,4100
經典級,第２年,9月,前,京成盃秋季讓賽,G3,1600,一哩,草地,中山,順・外,3900
經典級,第２年,9月,前,丹頂錦標賽,OP,2600,長距離,草地,札幌,順,2400
經典級,第２年,9月,前,危宿三錦標賽,OP,1400,短距離,沙地,阪神,順,2300
經典級,第２年,9月,前,日本電台賞,OP,1800,一哩,沙地,中山,順,2200
經典級,第２年,9月,後,聖烈特紀念,G2,2200,中距離,草地,中山,順・外,5400
經典級,第２年,9月,後,短途跑者錦標賽,G1,1200,短距離,草地,中山,順・外,13000
經典級,第２年,9月,後,神戶新聞盃,G2,2400,中距離,草地,阪神,順・外,5400
經典級,第２年,9月,後,產經賞,G2,2200,中距離,草地,中山,順・外,6700
經典級,第２年,9月,後,天狼星錦標賽,G3,2000,中距離,沙地,阪神,順,3600
經典級,第２年,9月,後,港灣人工島錦標賽,OP,1600,一哩,草地,阪神,順・外,2500
經典級,第２年,9月,後,長月錦標賽,OP,1200,短距離,沙地,中山,順,2200
經典級,第２年,10月,前,京都大賞典,G2,2400,中距離,草地,京都,順・外,6700
經典級,第２年,10月,前,毎日王冠,G2,1800,一哩,草地,東京,逆,6700
經典級,第２年,10月,前,府中賽馬娘錦標賽,G2,1800,一哩,草地,東京,逆,5500
經典級,第２年,10月,前,蛋白石錦標賽,OP,1200,短距離,草地,京都,順・内,2500
經典級,第２年,10月,前,綠色頻道盃,OP,1400,短距離,沙地,東京,逆,2300
經典級,第２年,10月,前,十月錦標賽,OP,2000,中距離,草地,東京,逆,2600
經典級,第２年,10月,前,信越錦標賽,OP,1400,短距離,草地,新潟,逆・内,2500
經典級,第２年,10月,前,太秦錦標賽,OP,1800,一哩,沙地,京都,順,2200
經典級,第２年,10月,後,天皇賞(秋),G1,2000,中距離,草地,東京,逆,15000
經典級,第２年,10月,後,秋華賞,G1,2000,中距離,草地,京都,順・内,10000
經典級,第２年,10月,後,菊花賞,G1,3000,長距離,草地,京都,順・外,12000
經典級,第２年,10月,後,天鵝錦標賽,G2,1400,短距離,草地,京都,順・外,5900
經典級,第２年,10月,後,富士錦標賽,G2,1600,一哩,草地,東京,逆,5900
經典級,第２年,10月,後,室町錦標賽,OP,1200,短距離,沙地,京都,順,2200
經典級,第２年,10月,後,巴西盃,OP,2100,中距離,沙地,東京,逆,2300
經典級,第２年,10月,後,仙后座錦標賽,OP,1800,一哩,草地,京都,順・外,2600
經典級,第２年,10月,後,光芒秋季短途賽,OP,1000,短距離,草地,新潟,直線,2500
經典級,第２年,11月,前,伊麗莎白女王盃,G1,2200,中距離,草地,京都,順・外,10500
經典級,第２年,11月,前,JBC女士經典賽,G1,1800,一哩,沙地,大井,順,4100
經典級,第２年,11月,前,JBC短途賽,G1,1200,短距離,沙地,大井,順,6000
經典級,第２年,11月,前,JBC經典賽,G1,2000,中距離,沙地,大井,順,8000
經典級,第２年,11月,前,阿根廷共和國盃,G2,2500,長距離,草地,東京,逆,5700
經典級,第２年,11月,前,都城錦標賽,G3,1800,一哩,沙地,京都,順,3800
經典級,第２年,11月,前,武蔵野錦標賽,G3,1600,一哩,沙地,東京,逆,3800
經典級,第２年,11月,前,福島紀念,G3,2000,中距離,草地,福島,順,4100
經典級,第２年,11月,前,黃金盃,OP,1400,短距離,草地,東京,逆,2500
經典級,第２年,11月,後,日本盃,G1,2400,中距離,草地,東京,逆,30000
經典級,第２年,11月,後,一哩冠軍賽,G1,1600,一哩,草地,京都,順・外,11000
經典級,第２年,11月,後,京阪盃,G3,1200,短距離,草地,京都,順・内,3900
經典級,第２年,11月,後,仙女座錦標賽,OP,2000,中距離,草地,京都,順・内,2600
